SCHEDULER_ID,DO_SKIP,USER_LOGIC_TYPE,FREQUENCY_INTERVL,DAILY_LOGIC,WEEKLY_LOGIC,MONTHLY_LOGIC,OPB_OBJECT_ID,VERSION_NUMBER
1001,0,1,1,0,0,0,0,1
1002,0,2,1,0,262144,0,0,1
1003,0,4,1,0,0,2,0,1
1004,0,4,1,0,0,1,0,1
1005,0,1,1,0,0,0,0,1
1006,0,2,1,0,1048576,0,0,1
1007,0,2,1,0,2031616,65536,0,1
1008,0,2,1,0,4128768,65536,0,1
1009,0,4,1,0,0,33554449,0,1
1010,0,4,1,0,0,3,0,1
1011,0,4,1,0,0,32769,0,1
1012,0,2,1,0,65536,65537,0,1
1013,0,1,1,0,0,65536,0,1
1014,0,2,2,0,2031616,0,0,1
1015,0,4,1,0,0,65537,0,1
1016,1,2,1,0,2031616,65536,0,1
1017,0,2,1,0,131072,0,0,1
1018,0,4,1,0,0,16,0,1
1019,0,2,1,0,524288,0,0,1
1020,0,4,1,0,0,1048576,0,1
1021,0,1,1,0,0,0,0,1
1022,0,2,1,0,131072,0,0,1
1023,0,4,1,0,0,2048,0,1
1024,0,2,1,0,4063232,0,0,1
1025,0,1,1,0,0,0,0,1
1026,0,4,1,0,0,1073741824,0,1
1027,0,2,1,0,163840,0,0,1
1028,0,2,1,0,327680,0,0,1
1029,0,1,1,0,0,0,0,1
1030,0,4,1,0,0,524288,0,1
1031,0,2,1,0,655360,0,0,1
1032,0,2,1,0,1310720,0,0,1
1033,0,1,1,0,0,0,0,1
1034,0,4,1,0,0,4096,0,1
1035,0,2,1,0,2097152,0,0,1
1036,0,2,1,0,4194304,0,0,1
1037,0,1,1,0,0,0,0,1
1038,0,4,1,0,0,8192,0,1
1039,0,2,1,0,8388608,0,0,1
1040,0,4,1,0,0,16384,0,1
1041,0,1,1,0,0,0,0,1
1042,0,2,1,0,131072,0,0,1
1043,0,4,1,0,0,32768,0,1
1044,0,2,1,0,262144,0,0,1
1045,0,1,1,0,0,0,0,1
1046,0,4,1,0,0,65536,0,1
1047,0,2,1,0,524288,0,0,1
1048,0,4,1,0,0,131072,0,1
1049,0,1,1,0,0,0,0,1
1050,0,4,1,0,0,262144,0,1