SUBJECT_AREA,WORKFLOW_NAME,SCHEDULER_NAME,START_TIME,RUN_OPTIONS,DELTA_VALUE,SCHEDULER_ID,WORKFLOW_ID
OPS,wf_every_15min,Scheduler,1/1/2026/00/00,4,900,1001,5001
OPS,wf_hourly,Scheduler,1/1/2026/00/00,4,3600,1005,5002
FIN,wf_daily_8am,Scheduler,1/1/2026/08/00,8,86400,1001,5003
FIN,wf_weekly_tue_3pm,Scheduler,1/6/2026/15/00,8,86400,1002,5004
DWH,wf_monthly_1st,Scheduler,2/1/2026/02/00,8,86400,1003,5005
DWH,wf_yearly_jan1,Scheduler,1/1/2026/01/00,8,86400,1004,5006
OPS,wf_friday_batch,Scheduler,1/2/2026/22/00,8,86400,1006,5007
OPS,wf_complex_weekly,Scheduler,1/4/2026/10/00,8,86400,1007,5008
FIN,wf_multi_weekday,Scheduler,1/5/2026/09/00,8,86400,1008,5009
DWH,wf_month_end_close,Scheduler,2/28/2026/23/00,8,86400,1009,5010
DWH,wf_month_first_two_days,Scheduler,2/1/2026/04/00,8,86400,1010,5011
OPS,wf_month_special_flags,Scheduler,2/1/2026/06/00,8,86400,1011,5012
FIN,wf_weekly_and_monthly,Scheduler,1/7/2026/11/00,8,86400,1012,5013
OPS,wf_monthly_bitmask,Scheduler,2/15/2026/05/00,8,86400,1013,5014
DWH,wf_biweekly_pattern,Scheduler,1/9/2026/07/00,8,86400,1014,5015
OPS,wf_disabled_schedule,Scheduler,1/4/2026/12/00,8,86400,1016,5016
FIN,wf_tuesday_only,Scheduler,1/6/2026/08/00,8,86400,1017,5017
DWH,wf_monthly_5th,Scheduler,2/5/2026/03/00,8,86400,1018,5018
OPS,wf_wednesday_batch,Scheduler,1/7/2026/21/00,8,86400,1019,5019
FIN,wf_monthly_large_mask,Scheduler,2/1/2026/00/30,8,86400,1020,5020
HR,wf_payroll_calc,Scheduler,1/1/2026/06/00,8,86400,1021,5021
MKT,wf_campaign_refresh,Scheduler,1/1/2026/00/00,4,1800,1022,5022
DWH,wf_agg_daily,Scheduler,1/1/2026/23/00,8,86400,1023,5023
FIN,wf_audit_mon_fri,Scheduler,1/5/2026/18/00,8,86400,1024,5024
OPS,wf_inventory_check,Scheduler,1/1/2026/09/00,4,7200,1025,5025
DWH,wf_cleanup_logs,Scheduler,1/1/2026/01/00,8,86400,1026,5026
MKT,wf_email_push,Scheduler,1/5/2026/08/00,8,86400,1027,5027
FIN,wf_ledger_sync,Scheduler,1/6/2026/12/00,8,86400,1028,5028
OPS,wf_shipment_update,Scheduler,1/1/2026/14/00,4,3600,1029,5029
DWH,wf_dimension_load,Scheduler,1/10/2026/22/00,8,86400,1030,5030
HR,wf_timesheet_reminder,Scheduler,1/5/2026/09/00,8,86400,1031,5031
FIN,wf_tax_calc_weekly,Scheduler,1/7/2026/17/00,8,86400,1032,5032
OPS,wf_sensor_data,Scheduler,1/1/2026/00/00,4,300,1033,5033
DWH,wf_vault_extract,Scheduler,1/12/2026/03/00,8,86400,1034,5034
MKT,wf_social_stats,Scheduler,1/5/2026/11/00,8,86400,1035,5035
FIN,wf_reconciliation,Scheduler,1/6/2026/04/00,8,86400,1036,5036
OPS,wf_queue_monitor,Scheduler,1/1/2026/00/00,4,600,1037,5037
DWH,wf_backup_db,Scheduler,1/13/2026/01/00,8,86400,1038,5038
HR,wf_recruitment_sync,Scheduler,1/5/2026/07/00,8,86400,1039,5039
DWH,wf_stage_incremental,Scheduler,1/14/2026/05/00,8,86400,1040,5040
OPS,wf_health_check,Scheduler,1/1/2026/12/00,4,1800,1041,5041
MKT,wf_lead_scoring,Scheduler,1/6/2026/10/00,8,86400,1042,5042
DWH,wf_fact_sales,Scheduler,1/15/2026/02/00,8,86400,1043,5043
FIN,wf_ar_aging,Scheduler,1/6/2026/09/00,8,86400,1044,5044
OPS,wf_api_fetch,Scheduler,1/1/2026/03/00,4,3600,1045,5045
DWH,wf_report_generation,Scheduler,1/16/2026/08/00,8,86400,1046,5046
MKT,wf_customer_360,Scheduler,1/5/2026/06/00,8,86400,1047,5047
DWH,wf_data_masking,Scheduler,1/17/2026/00/00,8,86400,1048,5048
OPS,wf_log_rotation,Scheduler,1/1/2026/23/30,4,86400,1049,5049
DWH,wf_schema_sync,Scheduler,1/18/2026/04/00,8,86400,1050,5050